province,district,district_area_km2,hotspot_area_km2,hotspot_percentage
Central,Matale,2066.2758705012125,0.0,0.0
Central,Kandy,1930.76763170864,0.0,0.0
Central,Nuwara Eliya,1752.7372947515964,0.0,0.0
Eastern,Ampara,4519.085256648069,0.0,0.0
Eastern,Batticaloa,2640.1784851253406,1.9692795625000001,0.07458888001681864
Eastern,Trincomalee,2708.988959747572,0.0,0.0
North Central,Anuradhapura,7243.887277594177,0.0,0.0
North Central,Polonnaruwa,3459.8818328180537,0.0,0.0
North Western,Kurunegala,4922.405669455788,0.0,0.0
North Western,Puttalam,3174.2698456500866,24.264089760294116,0.7643990882988355
Northern,Jaffna,1107.1122813933598,0.0,0.0
Northern,Kilinochchi,1318.8695520078327,0.0,0.0
Northern,Mannar,2015.3545864009227,0.0,0.0
Northern,Mullattivu,2611.3269506897486,0.0,0.0
Northern,Vavuniya,2013.1610262195654,0.0,0.0
Sabaragamuwa,Kegalle,1669.725462262207,238.80177153897085,14.301858415420773
Sabaragamuwa,Ratnapura,3304.874955218367,48.0258129102941,1.4531809390991264
Southern,Galle,1620.3996502242087,0.0,0.0
Southern,Hambantota,2639.36531461844,117.27581927843113,4.443334108730042
Southern,Matara,1314.0113970634677,0.0,0.0
Uva,Badulla,2883.8716643649113,0.0,0.0
Uva,Moneragala,5776.623291422968,0.0,0.0
Western,Colombo,685.2244655961097,641.6118629017108,93.63528232220106
Western,Gampaha,1423.1288229830063,847.2361207965628,59.53333999803894
Western,Kalutara,1652.480956826171,90.2490910921569,5.461430022497406
